course,EX,A,B,C,D,P,F,session
CS39003,47,43,19,6,1,1,1,Autumn20
CY39001,0,0,0,0,0,0,0,Autumn20
EC39001,0,0,0,0,0,0,0,Autumn20
EC21006,0,0,0,0,0,1,0,Autumn20
EC39005,25,45,39,7,4,2,2,Autumn20
EC21008,0,1,0,0,0,0,1,Autumn20
EE21002,0,0,1,0,2,0,0,Autumn20
EE39006,16,30,23,17,7,0,3,Autumn20
EE39009,9,50,51,11,3,1,5,Autumn20
EX30004,4,7,8,1,0,0,0,Autumn20
IE39001,7,19,5,1,0,0,2,Autumn20
IM31007,9,42,9,0,0,0,1,Autumn20
IM31008,15,36,6,3,0,1,0,Autumn20
GG31009,0,7,10,5,0,2,0,Autumn20
MA31009,3,9,18,32,1,0,0,Autumn20
ME39007,0,0,0,0,0,0,1,Autumn20
HS31072,9,28,20,1,0,0,0,Autumn20
MT31015,7,10,12,6,6,7,0,Autumn20
MI31005,0,19,32,11,3,0,2,Autumn20
NA31005,1,11,17,17,0,1,0,Autumn20
NA31003,2,31,8,1,1,4,0,Autumn20
PH31009,2,20,5,1,2,1,0,Autumn20
IM31011,1,3,6,4,0,0,0,Autumn20
AE39001,15,20,8,0,0,0,3,Autumn20
AR33203,7,23,2,0,0,0,0,Autumn20
CE39011,0,0,0,0,0,0,1,Autumn20
CH31011,10,48,25,8,1,0,0,Autumn20
CH39015,0,0,0,0,0,0,0,Autumn20
ET60003,0,10,6,1,0,0,0,Autumn20
ES61007,0,1,7,2,6,0,0,Autumn20
CY39003,0,0,0,0,0,0,0,Autumn20
EC29008,0,1,0,0,0,1,0,Autumn20
EE21004,0,0,0,1,1,2,0,Autumn20
GG39003,5,25,6,5,2,2,0,Autumn20
MA20013,0,0,0,0,0,1,0,Autumn20
MA20104,0,1,1,0,0,0,1,Autumn20
MT39005,0,0,0,0,0,0,0,Autumn20
MT31017,3,12,13,14,4,2,0,Autumn20
MI31007,11,34,12,5,1,2,1,Autumn20
GG21109,0,0,0,0,1,0,0,Autumn20
ME22002,0,0,0,0,0,5,0,Autumn20
PH31011,4,8,10,8,3,3,0,Autumn20
BT60007,2,2,1,0,1,0,0,Autumn20
CH39023,37,43,7,5,2,0,0,Autumn20
CY41009,5,13,5,0,0,0,0,Autumn20
MA20106,0,0,1,1,0,0,0,Autumn20
EE29002,0,0,1,1,1,0,0,Autumn20
GG39007,6,11,2,3,3,0,0,Autumn20
IP61025,0,1,3,7,0,0,0,Autumn20
MA41010,0,0,0,0,0,1,0,Autumn20
MI39013,0,0,0,0,0,0,0,Autumn20
MI39011,0,0,0,0,0,0,0,Autumn20
NA21001,0,0,0,0,0,2,2,Autumn20
NA31007,4,6,10,1,8,13,0,Autumn20
PH31013,0,10,9,5,1,2,1,Autumn20
PH39003,0,0,0,0,0,0,0,Autumn20
EP60029,4,15,10,3,1,0,0,Autumn20
EP60005,102,11,0,0,0,0,0,Autumn20
ET60017,3,4,1,0,0,0,0,Autumn20
MA61027,8,9,6,2,1,2,1,Autumn20
EE29004,0,1,1,0,1,0,0,Autumn20
EP60025,25,21,1,0,0,0,0,Autumn20
GG39009,0,8,8,3,2,3,0,Autumn20
ME60407,0,2,3,0,0,1,0,Autumn20
ME21004,0,0,0,1,0,0,0,Autumn20
MT39009,0,0,0,0,0,0,0,Autumn20
NA21004,0,0,0,0,0,0,3,Autumn20
NA39009,0,0,0,1,0,0,0,Autumn20
NA39011,0,0,1,0,0,0,0,Autumn20
PH39005,0,0,0,0,0,0,0,Autumn20
MA41009,3,3,4,0,0,0,0,Autumn20
ES60004,5,38,12,3,3,0,0,Autumn20
AE60030,0,0,1,0,0,0,0,Autumn20
AE40005,3,0,1,3,2,0,1,Autumn20
RD30005,1,16,10,6,0,0,0,Autumn20
AE40033,3,2,2,2,2,3,0,Autumn20
EE30024,17,11,4,0,0,0,0,Autumn20
MA51121,12,16,22,28,26,6,0,Autumn20
PH41011,1,0,0,0,0,1,0,Autumn20
EC60007,0,6,17,7,0,0,0,Autumn20
MA41101,0,1,8,3,2,0,0,Autumn20
CS60065,2,7,2,1,0,0,1,Autumn20
GG41001,9,11,1,0,0,0,0,Autumn20
ME60033,13,12,1,2,0,0,0,Autumn20
RE20001,2,3,0,0,0,0,0,Autumn20
ME21008,0,0,1,0,0,0,0,Autumn20
NA29002,0,0,0,0,0,0,4,Autumn20
HS30003,10,24,0,0,0,0,0,Autumn20
MM61228,0,31,0,0,1,0,0,Autumn20
MM60009,4,5,2,5,0,1,0,Autumn20
ET60012,2,8,9,4,0,0,0,Autumn20
TE30002,10,19,9,0,0,0,0,Autumn20
HS30040,0,0,2,0,0,0,0,Autumn20
GG49001,9,13,0,0,0,0,0,Autumn20
ME29002,0,0,2,0,0,0,0,Autumn20
EE41013,1,13,23,22,11,11,0,Autumn20
NA60045,3,4,6,4,1,0,0,Autumn20
PH41023,3,1,11,7,4,5,2,Autumn20
AE47007,8,9,10,3,0,0,3,Autumn20
AE40031,2,5,2,4,7,6,0,Autumn20
AE40007,1,5,5,4,0,0,2,Autumn20
AE49003,14,16,4,2,4,1,3,Autumn20
AE40018,0,1,1,1,2,4,1,Autumn20
AE31008,0,0,0,0,1,1,0,Autumn20
AE40019,5,2,0,2,0,1,4,Autumn20
AE48003,7,14,3,0,0,0,2,Autumn20
AE31006,0,0,0,1,0,0,0,Autumn20
AG40009,6,20,6,5,0,0,0,Autumn20
AG40011,2,16,25,6,4,0,0,Autumn20
AG31002,0,0,1,0,1,0,0,Autumn20
AG31004,0,0,1,0,1,2,0,Autumn20
AR40023,0,4,21,7,3,2,0,Autumn20
BT40009,2,20,11,4,0,1,0,Autumn20
BT47007,9,13,13,1,0,0,3,Autumn20
CE31410,0,4,15,7,3,0,0,Autumn20
CE60021,11,11,1,0,0,0,0,Autumn20
CE41003,8,26,1,4,0,0,1,Autumn20
CE31002,0,0,0,1,1,3,0,Autumn20
CE31406,0,1,0,0,2,0,0,Autumn20
CE60011,0,2,6,0,0,0,0,Autumn20
CE47007,4,14,6,2,0,0,3,Autumn20
CH30014,0,0,1,0,0,0,0,Autumn20
CH40001,12,55,16,2,0,0,1,Autumn20
BM40004,1,1,1,1,3,1,1,Autumn20
CS41001,33,61,8,3,1,0,0,Autumn20
CS31006,0,0,0,0,0,1,0,Autumn20
CS60073,12,12,4,0,0,0,0,Autumn20
CY41005,3,10,5,1,4,2,0,Autumn20
CY41011,0,0,3,8,10,5,0,Autumn20
EC49001,22,56,27,3,0,0,2,Autumn20
EC47007,35,28,13,0,0,1,4,Autumn20
EC48001,18,25,8,0,0,0,0,Autumn20
EP60040,0,3,1,0,0,2,0,Autumn20
CS60059,41,27,4,0,1,0,0,Autumn20
EC31002,0,0,0,0,0,1,0,Autumn20
CS61066,0,1,0,0,0,0,0,Autumn20
EE41001,1,13,20,27,17,5,1,Autumn20
EC60297,7,1,1,0,1,0,0,Autumn20
EX41001,1,1,5,9,9,3,1,Autumn20
IM31002,0,1,0,1,0,0,0,Autumn20
IM41001,6,26,28,7,0,0,0,Autumn20
GG40013,0,5,10,0,0,2,0,Autumn20
GG40002,0,3,1,1,0,0,0,Autumn20
GG41005,9,14,3,1,0,0,0,Autumn20
HS30002,0,0,0,0,1,0,0,Autumn20
HS40007,15,19,12,6,0,0,0,Autumn20
MA30002,0,0,0,0,0,2,0,Autumn20
ME40601,11,12,34,44,25,35,0,Autumn20
ME40111,3,9,8,2,2,0,0,Autumn20
EE61011,0,0,1,1,0,1,0,Autumn20
IM61007,6,13,16,2,0,0,0,Autumn20
IM60059,11,22,21,7,4,0,0,Autumn20
ME40107,5,6,15,6,11,1,0,Autumn20
ME30604,0,0,1,0,0,2,0,Autumn20
MF49601,40,21,6,0,0,0,0,Autumn20
IM60021,0,5,7,2,0,0,2,Autumn20
IM60061,0,3,5,4,0,0,0,Autumn20
MT41011,0,0,4,5,5,0,1,Autumn20
MT41013,15,22,15,2,0,0,0,Autumn20
ME60323,1,0,0,0,0,0,0,Autumn20
MI40001,6,32,9,9,3,5,0,Autumn20
EP60042,0,0,1,0,0,0,0,Autumn20
MI47005,3,8,19,2,0,2,0,Autumn20
NA40022,1,1,3,11,6,8,0,Autumn20
NA47005,6,15,8,1,0,0,1,Autumn20
NA48001,7,22,15,5,0,0,0,Autumn20
PH41004,2,10,11,4,2,4,1,Autumn20
EE60033,0,3,3,1,0,0,0,Autumn20
AE40037,4,5,2,1,0,0,0,Autumn20
AE51003,7,9,5,1,0,1,0,Autumn20
AE31010,0,0,0,1,0,1,0,Autumn20
AE40030,0,3,1,1,0,0,0,Autumn20
AE39002,0,0,2,0,0,0,0,Autumn20
AG47007,1,23,9,5,1,0,0,Autumn20
AG48003,0,8,14,0,1,0,1,Autumn20
AG60121,5,18,16,6,1,0,0,Autumn20
AG31006,0,0,1,1,2,1,0,Autumn20
AR42001,2,7,12,10,4,1,0,Autumn20
AR43201,0,8,11,6,6,2,1,Autumn20
BT48017,11,9,13,0,0,0,0,Autumn20
BT49001,0,0,0,0,0,0,0,Autumn20
CE60023,3,12,6,2,0,0,0,Autumn20
CE41627,2,4,4,0,0,0,0,Autumn20
CE31004,0,0,0,1,1,3,0,Autumn20
CE60013,1,4,3,0,0,0,0,Autumn20
CH39006,0,1,0,0,0,0,0,Autumn20
CH48013,11,24,17,7,4,3,1,Autumn20
CH49015,0,0,0,0,0,0,0,Autumn20
CH47025,22,28,11,3,0,0,2,Autumn20
CS47007,32,26,11,6,1,1,4,Autumn20
CS48003,94,7,2,0,0,0,0,Autumn20
CY41007,0,1,4,14,3,1,0,Autumn20
CY49001,0,0,0,0,0,0,0,Autumn20
EC60091,13,46,10,0,0,0,0,Autumn20
CS60047,13,15,2,0,0,0,0,Autumn20
EC60085,1,1,1,0,1,0,0,Autumn20
CS60077,15,8,3,0,0,0,0,Autumn20
CS60038,13,15,5,1,3,1,0,Autumn20
EC31004,0,0,0,0,0,1,0,Autumn20
EC60083,2,1,3,1,0,0,0,Autumn20
EE47009,14,13,10,3,0,0,6,Autumn20
EE48001,8,30,13,0,0,0,2,Autumn20
CL60033,0,0,0,0,1,0,0,Autumn20
EX41003,0,0,3,14,9,3,0,Autumn20
EX40009,0,1,16,8,0,1,0,Autumn20
EE60032,5,6,20,9,5,2,2,Autumn20
IM31006,0,0,0,2,0,0,0,Autumn20
ET60025,7,9,7,2,3,0,0,Autumn20
