course,EX,A,B,C,D,P,F,session
HS13003-ENGLISH FOR COMMUNICATION,0,0,1,0,0,0,0,Spring 19
MA11003-ADVANCED CALCULUS,210,346,437,357,221,182,19,Autumn 20
MA11003-ADVANCED CALCULUS,317,403,346,408,166,131,15,Autumn 21
MA11003-ADVANCED CALCULUS,0,0,0,1,0,0,0,Autumn 19
DY17003-DIY PROJECT,321,452,82,25,9,11,0,Spring 20
DY17003-DIY PROJECT,320,427,82,14,5,8,8,Autumn 20
DY17003-DIY PROJECT,303,426,80,29,12,11,11,Autumn 21
DY17003-DIY PROJECT,325,443,87,20,19,11,3,Spring 21
DY17003-DIY PROJECT,0,1,0,0,0,0,0,Autumn 19
EA10008-EXTRA ACADEMIC ACTIVITY-II,402,889,365,92,32,10,5,Spring 20
EA10008-EXTRA ACADEMIC ACTIVITY-II,367,867,406,100,26,27,14,Spring 21
EA10008-EXTRA ACADEMIC ACTIVITY-II,0,1,0,0,0,0,0,Spring 19
EE11003-ELECTRICAL TECHNOLOGY,127,405,228,83,33,18,6,Spring 20
EE11003-ELECTRICAL TECHNOLOGY,114,434,244,75,25,9,10,Autumn 20
EE11003-ELECTRICAL TECHNOLOGY,66,165,312,170,134,52,13,Autumn 21
EE11003-ELECTRICAL TECHNOLOGY,53,147,303,185,172,46,2,Spring 21
EE11003-ELECTRICAL TECHNOLOGY,0,0,1,0,0,0,0,Autumn 19
EN19003-ENGINEERING LABORATORY,71,316,317,130,48,16,3,Spring 20
EN19003-ENGINEERING LABORATORY,85,328,334,109,33,10,12,Autumn 20
EN19003-ENGINEERING LABORATORY,56,299,310,140,66,28,13,Autumn 21
EN19003-ENGINEERING LABORATORY,14,362,397,98,23,13,1,Spring 21
EN19003-ENGINEERING LABORATORY,0,0,1,0,0,0,0,Autumn 19
EV10003-ENVIRONMENTAL SCIENCE,139,372,241,80,36,30,2,Spring 20
EV10003-ENVIRONMENTAL SCIENCE,159,281,246,168,35,13,9,Autumn 20
EV10003-ENVIRONMENTAL SCIENCE,129,276,296,144,42,17,8,Autumn 21
EV10003-ENVIRONMENTAL SCIENCE,297,300,177,97,23,13,1,Spring 21
EV10003-ENVIRONMENTAL SCIENCE,0,1,0,0,0,0,0,Autumn 19
MA11004-LINEAR ALGEBRA, NUMERICAL AND COMPLEX ANALYSIS,255,405,338,356,299,146,3,Spring 20
MA11004-LINEAR ALGEBRA, NUMERICAL AND COMPLEX ANALYSIS,390,580,459,228,96,54,1,Spring 21
MA11004-LINEAR ALGEBRA, NUMERICAL AND COMPLEX ANALYSIS,0,0,0,0,1,0,0,Spring 19
PH11003-PHYSICS OF WAVES,126,191,207,217,113,44,2,Spring 20
PH11003-PHYSICS OF WAVES,187,261,198,117,51,40,10,Autumn 20
PH11003-PHYSICS OF WAVES,140,293,225,109,59,38,8,Autumn 21
PH11003-PHYSICS OF WAVES,193,330,191,119,56,18,1,Spring 21
PH11003-PHYSICS OF WAVES,0,0,0,1,0,0,0,Autumn 19
PH19003-PHYSICS LABORATORY,290,360,150,44,27,28,1,Spring 20
PH19003-PHYSICS LABORATORY,392,343,76,21,13,9,10,Autumn 20
PH19003-PHYSICS LABORATORY,46,173,269,211,106,52,15,Autumn 21
PH19003-PHYSICS LABORATORY,179,449,163,70,18,26,3,Spring 21
PH19003-PHYSICS LABORATORY,1,0,0,0,0,0,0,Autumn 19
AI61005-,15,22,40,37,17,0,1,Autumn 21
AI61005-,29,40,66,25,36,6,0,Autumn 22
AI61005-,2,11,17,5,2,0,0,Spring 21
AI61005-,21,37,37,24,9,2,0,Spring 22
AI61005-,6,39,21,7,5,2,0,Spring 20
EA10009-EXTRA ACADEMIC ACTIVITY-III,455,918,288,80,31,15,5,Autumn 21
EA10009-EXTRA ACADEMIC ACTIVITY-III,438,543,375,198,98,78,19,Autumn 22
EA10009-EXTRA ACADEMIC ACTIVITY-III,0,0,0,1,0,0,0,Autumn 20
EC21207-ANALOG ELECTRONIC CIRCUITS,53,119,86,55,15,16,2,Autumn 21
EC21207-ANALOG ELECTRONIC CIRCUITS,28,30,42,29,16,19,3,Autumn 22
EC29207-ANALOG  CIRCUITS LABORATORY,132,144,45,16,0,7,2,Autumn 21
EC29207-ANALOG  CIRCUITS LABORATORY,22,61,56,19,6,0,2,Autumn 22
EE21201-SIGNALS AND SYSTEMS,42,164,81,27,17,8,0,Autumn 21
EE21201-SIGNALS AND SYSTEMS,8,67,108,93,32,10,4,Autumn 22
EE21203-NETWORK ANALYSIS,2,11,64,84,10,12,0,Autumn 21
EE21203-NETWORK ANALYSIS,2,14,43,41,37,28,4,Autumn 22
EE29201-SIGNALS AND NETWORKS LABORATORY,21,46,70,39,5,3,0,Autumn 21
EE29201-SIGNALS AND NETWORKS LABORATORY,15,65,65,15,8,1,0,Autumn 22
EP21201-INTRODUCTION TO INNOVATION AND ENTREPRENEURSHIP,27,59,35,7,0,0,0,Autumn 21
EP21201-INTRODUCTION TO INNOVATION AND ENTREPRENEURSHIP,21,37,66,20,0,0,0,Spring 21
EP21201-INTRODUCTION TO INNOVATION AND ENTREPRENEURSHIP,35,114,55,16,2,0,0,Spring 22
EP21201-INTRODUCTION TO INNOVATION AND ENTREPRENEURSHIP,6,23,24,5,1,0,1,Autumn 22
MA20205-PROBABILITY AND STATISTICS,213,288,375,246,131,108,4,Autumn 21
MA20205-PROBABILITY AND STATISTICS,78,121,162,253,305,304,130,Autumn 22
MA20205-PROBABILITY AND STATISTICS,0,0,0,0,1,0,0,Autumn 20
AI61002-,6,68,60,7,0,1,0,Spring 21
AI61002-,1,9,17,22,20,35,0,Spring 22
AI61002-,5,1,0,0,0,1,0,Spring 20
AI61002-,0,0,1,0,0,0,0,Autumn 21
EA10010-EXTRA ACADEMIC ACTIVITY-IV,352,943,363,73,36,22,5,Spring 21
EA10010-EXTRA ACADEMIC ACTIVITY-IV,490,577,335,128,104,58,25,Spring 22
EA10010-EXTRA ACADEMIC ACTIVITY-IV,0,0,1,0,0,0,0,Spring 20
EC21202-DIGITAL ELECTRONIC CIRCUITS,17,58,104,96,52,17,0,Spring 21
EC21202-DIGITAL ELECTRONIC CIRCUITS,10,31,47,36,25,11,3,Spring 22
EC29202-DIGITAL CIRCUITS LABORATORY,97,117,73,44,10,3,1,Spring 21
EC29202-DIGITAL CIRCUITS LABORATORY,47,51,36,22,6,1,0,Spring 22
EE21202-MEASUREMENT AND ELECTRONIC INSTRUMENTS,2,14,27,88,41,10,1,Spring 21
EE21202-MEASUREMENT AND ELECTRONIC INSTRUMENTS,7,27,39,38,31,18,9,Spring 22
EE21206-ELECTRICAL MACHINES,0,4,10,81,33,7,2,Spring 21
EE21206-ELECTRICAL MACHINES,0,2,5,8,47,53,11,Spring 22
EE29202-MEASUREMENT AND ELECTRONIC INSTRUMENTS LABORATORY,23,64,63,26,6,1,0,Spring 21
EE29202-MEASUREMENT AND ELECTRONIC INSTRUMENTS LABORATORY,15,97,47,7,3,0,1,Spring 22
EE29206-ELECTRICAL MACHINES LABORATORY,13,62,37,12,7,4,0,Spring 21
EE29206-ELECTRICAL MACHINES LABORATORY,5,29,52,27,10,1,0,Spring 22
AT60201-,2,6,6,4,1,0,0,Autumn 22
EE31009-CONTROL SYSTEM ENGINEERING,5,33,32,50,39,20,1,Autumn 22
EE31009-CONTROL SYSTEM ENGINEERING,0,0,0,1,5,1,1,Autumn 19
EE31009-CONTROL SYSTEM ENGINEERING,16,69,133,53,19,7,0,Autumn 21
EE31011-POWER ELECTRONICS,5,20,40,35,18,11,4,Autumn 22
EE31011-POWER ELECTRONICS,0,0,0,0,0,3,1,Autumn 19
EE31011-POWER ELECTRONICS,10,16,60,21,2,2,0,Autumn 21
EE39006-POWER ELECTRONICS LAB.,27,61,31,12,2,0,0,Autumn 22
EE39006-POWER ELECTRONICS LAB.,0,1,0,0,0,2,1,Autumn 19
