course,EX,A,B,C,D,P,F,session
AG31007,2,14,13,16,8,1,0,Autumn19
AG39001,8,24,17,3,1,0,0,Autumn19
AG39003,16,15,12,7,5,0,1,Autumn19
AG39005,5,23,18,6,0,1,0,Autumn19
EP60029,0,6,13,7,5,4,0,Autumn19
AG31002,7,15,24,6,1,3,0,Spring20
AG31004,4,15,10,12,12,3,0,Spring20
AG31006,2,5,18,18,11,2,0,Spring20
AG31008,2,14,8,17,11,4,0,Spring20
AG39002,6,16,30,3,1,0,0,Spring20
AG39004,9,27,10,9,0,1,0,Spring20
AG39006,0,12,39,2,1,2,0,Spring20
NT70002,2,2,8,2,6,0,0,Spring20
AG40009,6,17,6,5,0,0,0,Autumn20
AG40011,2,15,25,6,3,0,0,Autumn20
AG47007,1,24,8,4,1,0,0,Autumn20
AG48003,0,6,8,0,0,0,0,Autumn20
AG60121,5,18,15,6,0,0,0,Autumn20
AG60129,1,4,6,1,0,0,0,Autumn20
ES60007,1,3,3,2,1,1,0,Autumn20
AG40018,3,18,5,1,0,0,0,Spring21
AG48002,0,3,10,6,2,0,0,Spring21
AG60080,2,3,1,0,0,0,0,Spring21
CL61012,0,0,2,0,0,0,0,Spring21
WM60010,1,2,1,0,0,0,0,Spring21
WM60016,0,0,1,0,0,0,0,Spring21
EP60011,3,6,0,0,0,0,0,Autumn19
EP60005,7,4,4,0,0,0,0,Autumn19
AG40032,2,0,0,0,0,0,0,Spring21
AG60148,0,2,0,0,0,0,0,Spring21
EP60007,4,13,10,2,2,0,0,Autumn19
AG31026,3,6,8,5,2,3,0,Spring20
BM40004,1,1,1,1,3,0,0,Autumn20
CL60017,4,0,0,0,0,0,0,Autumn20
AG60008,2,19,4,1,0,0,0,Spring21
AG60062,3,8,3,1,0,0,0,Spring21
AG60092,0,2,0,2,0,0,0,Spring21
AG69014,5,5,9,3,2,0,0,Spring21
MM66002,1,4,3,1,0,0,0,Autumn18
AG60105,0,0,0,0,1,0,0,Autumn19
BT31010,12,13,10,1,0,0,0,Spring20
ES60004,5,22,6,3,3,0,0,Autumn20
RX60019,3,2,11,15,3,0,0,Autumn20
HS70006,2,0,0,0,0,0,0,Spring21
MA41017,21,27,5,5,1,1,0,Spring21
AG60008,0,1,1,1,0,0,0,Spring20
ET60027,0,1,0,1,0,0,0,Autumn20
MA41024,0,0,0,0,0,1,0,Autumn20
AG60124,0,0,2,0,0,0,0,Spring21
AG60132,0,0,0,0,0,1,0,Spring21
HS30051,2,7,10,3,1,0,0,Spring21
EP60022,9,16,15,7,1,2,0,Autumn19
RD30005,1,8,3,0,0,0,0,Autumn20
EP60044,5,17,8,5,2,0,0,Autumn19
HS20005,26,24,17,2,0,0,0,Autumn20
MA41025,0,26,13,2,0,0,0,Autumn20
AG60002,0,0,2,3,0,0,0,Spring21
CL60019,0,6,0,0,0,0,0,Autumn20
HS30057,1,4,0,1,2,0,0,Spring19
AG60124,0,0,1,0,0,0,0,Spring20
RX60018,1,5,7,11,4,0,0,Autumn20
HS30001,1,19,28,14,7,1,0,Spring21
HS30075,15,12,5,1,0,0,0,Spring21
MA41003,0,0,1,0,0,0,0,Autumn20
CL60006,0,0,0,1,0,1,0,Autumn20
MA20107,30,145,26,1,2,1,0,Autumn20
CL60008,3,0,2,0,0,0,0,Spring21
HS20002,1,8,5,4,0,0,0,Spring21
HS60063,0,0,1,0,0,0,0,Spring19
EP60010,2,0,0,0,0,0,0,Autumn19
EP60038,0,1,1,1,0,5,0,Autumn19
MA60017,0,1,0,1,0,0,0,Autumn20
PH41023,3,1,11,7,4,4,0,Autumn20
AG69004,0,0,2,2,0,0,0,Spring21
AT60008,1,2,1,0,0,1,0,Spring21
EP60025,23,19,4,1,2,0,0,Autumn19
AG60003,0,1,0,0,0,0,1,Autumn20
BM60112,18,25,23,4,0,0,0,Spring20
HS30097,11,36,15,0,0,0,0,Autumn20
MA61061,4,5,2,0,0,0,0,Autumn20
BM50010,8,4,2,1,0,1,0,Spring21
HS30096,12,18,3,3,0,0,0,Spring21
AI61005,3,1,7,3,0,0,1,Spring20
MA41011,0,2,6,7,0,0,0,Spring20
BM51001,1,8,5,1,0,0,0,Autumn20
BM40004,2,16,19,17,9,0,0,Spring21
BM40002,3,11,11,9,5,2,0,Spring20
PH20007,11,14,6,2,2,2,0,Autumn20
MA60061,1,4,1,0,0,0,0,Autumn20
ES61007,0,1,5,2,2,0,0,Autumn20
IM41082,0,0,0,0,0,1,0,Autumn19
AG60096,0,0,0,0,0,1,0,Spring21
RD30005,1,8,4,2,1,0,0,Spring21
AG60301,0,1,1,0,0,0,0,Autumn20
MA51109,12,31,4,0,0,0,0,Autumn20
AG60100,0,2,0,0,0,0,0,Spring21
AG60164,0,1,1,0,0,0,0,Spring21
AG60302,0,1,1,0,0,0,0,Spring21
AG69008,1,1,0,0,0,0,0,Spring21
IP60202,0,0,0,0,0,1,0,Autumn20
EP60002,0,0,0,0,0,1,0,Autumn19
RD30002,3,10,9,1,0,0,0,Autumn20
ET61002,2,4,3,9,3,0,0,Spring20
MA30006,4,4,6,14,20,12,0,Spring20
MA40004,4,21,45,29,14,6,0,Spring21
AG60061,0,0,0,1,0,0,0,Autumn20
HS20018,6,13,23,18,3,1,0,Spring21
EC61409,4,1,7,3,3,2,0,Autumn20
ET60023,1,2,4,4,0,0,0,Autumn20
ET60010,2,5,5,4,0,1,0,Spring21
IP60017,1,4,3,2,0,0,0,Autumn20
AR60052,0,1,0,0,0,0,0,Spring21
CL60028,0,1,2,1,0,0,0,Spring21
EP60020,13,14,17,20,3,2,0,Spring20
ET60025,2,4,4,0,0,0,0,Autumn20
EP60021,0,1,3,6,5,2,0,Autumn19
AG40018,0,1,0,0,0,0,0,Autumn20
AG60109,0,0,0,0,0,0,1,Autumn20
CL60008,0,1,0,0,0,0,0,Autumn20
AI61005,7,9,18,9,3,0,1,Autumn20
HS60020,1,4,2,0,0,0,0,Spring21
HS41002,17,19,31,4,0,0,0,Spring21
AR12003,2,17,8,6,4,0,0,Autumn17
AR13201,5,17,15,0,0,0,0,Autumn17
AR13203,0,2,15,14,4,2,0,Autumn17
AR13205,10,12,13,1,1,0,0,Autumn17
AR12002,2,10,17,7,0,1,0,Spring18
AR13202,3,13,10,8,2,1,0,Spring18
AR13204,2,13,9,11,2,0,0,Spring18
AR32001,4,3,7,10,8,4,0,Autumn19
AR32003,2,13,6,9,5,2,0,Autumn19
AR33201,2,5,9,6,7,8,0,Autumn19
AR33203,7,17,6,5,0,2,0,Autumn19
CE31001,0,2,17,29,35,21,0,Autumn19
CE39007,11,40,37,8,5,2,0,Autumn19
EE30024,2,4,10,11,10,0,0,Autumn19
HS30003,1,12,5,10,9,0,0,Autumn19
AR32002,2,9,8,8,9,1,0,Spring20
AR32004,0,12,12,8,3,1,1,Spring20
AR33202,3,29,5,0,0,0,0,Spring20
AR33204,2,9,12,14,0,0,0,Spring20
AR33206,3,11,9,13,0,1,0,Spring20
BM40004,0,2,6,4,7,3,0,Spring20
CE31004,8,12,10,17,38,18,2,Spring20
CE39006,38,54,4,1,0,5,2,Spring20
AR40023,0,4,21,7,3,2,0,Autumn20
AR42001,2,7,12,10,4,1,0,Autumn20
AR43201,0,8,11,7,6,1,1,Autumn20
AR43203,0,0,0,0,0,0,0,Autumn20
AR52006,1,13,0,0,0,0,0,Autumn20
ME40107,5,6,15,4,7,1,0,Autumn20
MA30003,2,6,15,17,16,7,2,Autumn19
AR42005,2,5,12,3,0,0,1,Autumn20
MA29005,16,41,28,5,1,0,0,Autumn20
MA31005,3,36,31,5,2,1,0,Autumn20
ET60003,1,7,3,1,0,0,0,Autumn20
EP60008,3,9,7,3,1,3,0,Spring20
ET60007,24,22,8,0,0,0,0,Autumn20
CS21003,16,30,42,31,22,1,0,Spring20
HS30079,3,9,14,13,9,1,0,Autumn19
MA20106,67,76,57,43,33,30,2,Spring20
HS20009,3,31,27,5,0,0,0,Spring21
HS49002,11,28,18,2,0,0,0,Spring21
IM41082,3,1,2,2,3,1,0,Spring20
BM63020,2,7,3,2,0,3,0,Spring21
HS30048,18,16,9,6,2,1,0,Spring20
ET60029,20,27,10,0,0,0,0,Autumn20
EP60010,3,3,2,6,4,0,1,Spring20
MA41011,2,8,21,15,4,0,0,Spring21
MA49011,1,8,20,20,2,0,0,Spring21
MA40004,1,2,1,2,2,0,0,Spring20
EP60006,3,7,2,0,0,0,0,Spring20
EP60002,2,2,2,2,7,1,0,Spring20
EP60040,1,6,10,0,1,4,0,Spring20
BT31009,0,1,13,10,6,8,0,Autumn19
BT31011,4,6,14,8,3,0,0,Autumn19
BT39001,3,13,11,2,1,0,0,Autumn19
BT39003,3,14,14,2,0,2,0,Autumn19
CH21103,4,10,20,30,31,32,1,Autumn19
CH31001,1,28,17,45,33,21,1,Autumn19
BT31006,0,6,11,9,5,4,0,Spring20
BT31014,9,15,9,2,0,0,0,Spring20
BT39006,13,21,1,0,0,0,0,Spring20
BT39008,12,6,10,6,0,1,0,Spring20
BT61030,6,11,8,8,2,0,0,Spring20
CH39006,73,57,15,0,0,0,0,Spring20
BT40009,2,18,9,4,0,0,0,Autumn20
BT47007,8,12,11,1,0,0,1,Autumn20
BT49001,0,0,0,0,0,0,0,Autumn20
BT60015,6,6,0,0,0,0,0,Autumn20
BT41012,6,11,3,2,0,0,0,Spring21
BT41022,5,20,7,3,0,0,0,Spring21
BT60004,14,4,1,1,1,0,0,Spring21
BT60016,0,7,9,1,0,1,0,Spring21
MM72335,2,17,11,4,0,0,0,Spring21
BT60006,0,0,3,0,0,0,0,Spring20
BT48017,4,3,6,0,0,0,0,Autumn20
MM60009,4,4,0,0,0,0,0,Autumn20
MM61511,2,2,0,0,0,0,0,Autumn20
BT41014,0,1,2,3,1,0,0,Spring21
BT48026,1,3,7,1,2,0,0,Spring21
BT60002,0,0,2,0,0,0,0,Spring21
MM61228,0,19,0,0,0,0,0,Autumn20
BS60003,6,12,12,2,1,0,0,Autumn20
EC60007,0,4,13,4,0,0,0,Autumn20
IP61025,0,1,3,7,0,0,0,Autumn20
MM61228,1,22,4,3,0,1,0,Spring21
CY60005,0,3,2,0,0,0,0,Autumn20
CE31302,1,4,11,11,4,0,2,Spring21
CS66008,1,1,3,1,0,0,0,Autumn19
EC60004,0,7,2,0,0,0,0,Spring20
BS60005,1,0,2,0,0,0,0,Autumn20
MA40011,17,17,10,3,1,2,0,Autumn20
IM61003,2,9,10,5,2,2,1,Autumn20
BT60007,0,0,1,0,1,0,0,Autumn20
MS31007,7,15,2,2,0,0,0,Autumn20
MT60134,2,1,0,0,0,0,0,Spring21
MM66005,1,4,0,0,0,0,0,Spring20
MM66007,3,6,1,0,0,0,0,Spring20
MM66008,0,0,1,0,0,0,0,Spring20
BT63027,0,2,1,1,0,0,0,Autumn20
BT61026,0,1,0,0,0,0,0,Spring21
ET60012,2,2,5,0,2,0,0,Autumn20
BM60112,16,31,6,0,0,0,0,Spring21
MM61501,3,1,0,0,0,0,0,Autumn20
MM61214,1,0,0,0,0,0,0,Spring21
MM61216,0,0,1,0,0,0,0,Spring21
EC60007,0,2,2,3,1,0,0,Autumn19
CS21002,29,36,40,12,3,6,0,Spring20
CS60075,4,1,0,2,1,0,1,Spring20
AI60002,4,24,10,3,0,1,0,Spring21
MM61504,1,2,0,0,0,0,0,Spring21
MA41031,2,4,10,4,5,4,1,Autumn19
HS30002,15,10,14,12,2,0,0,Spring20
HS30079,0,17,22,19,2,0,0,Autumn20
TS62002,0,2,3,0,0,0,0,Spring21
MM60024,0,1,1,0,0,0,0,Spring21
BS20001,25,102,139,163,137,145,0,Autumn19
CE31003,2,10,16,12,15,11,0,Autumn19
CE31005,3,14,10,16,8,16,1,Autumn19
CE31216,1,7,20,21,9,3,0,Autumn19
CE39009,7,35,16,7,0,0,0,Autumn19
CE39011,2,14,37,3,6,1,1,Autumn19
EV20001,40,166,217,174,76,39,1,Autumn19
CE31002,4,17,20,16,4,6,2,Spring20
CE31111,2,10,6,2,10,8,0,Spring20
CE31306,9,10,14,10,2,2,0,Spring20
CE39004,4,18,42,2,0,0,1,Spring20
CE39008,28,31,5,3,0,0,1,Spring20
ET60006,35,17,18,19,1,0,0,Spring20
CE31410,0,4,10,7,3,0,0,Autumn20
CE41003,6,22,1,4,0,0,1,Autumn20
CE41601,0,1,6,1,0,2,0,Autumn20
CE47007,4,11,6,2,2,0,1,Autumn20
CE48001,2,4,6,5,4,0,3,Autumn20
CE69021,0,0,0,0,0,0,0,Autumn20
CE48004,1,6,6,9,0,2,1,Spring21
CE60016,4,12,6,1,1,1,0,Spring21
CE60132,0,0,0,1,0,0,0,Spring21
MA21007,26,31,35,33,7,1,0,Autumn19
AI61002,0,5,11,9,1,4,0,Spring20
CE41603,2,5,8,3,2,0,0,Spring20
CE60021,11,11,1,0,0,0,0,Autumn20
CE60023,3,12,6,2,0,0,0,Autumn20
CE60135,5,16,1,1,0,0,0,Autumn20
CE69023,0,0,0,0,0,0,0,Autumn20
CS40019,59,81,69,29,10,1,0,Autumn20
BM40002,41,58,77,16,0,0,0,Spring21
CE60022,7,15,1,0,0,0,0,Spring21
CE60028,1,17,5,0,0,0,0,Spring21
CE69008,0,23,0,0,0,0,0,Spring21
BM40012,0,0,3,2,1,0,0,Spring20
EG30002,1,2,2,3,1,1,0,Spring20
CS60045,25,62,22,3,2,0,0,Autumn20
CE41028,4,15,6,1,2,1,0,Spring21
HS30048,42,31,5,4,1,0,0,Spring21
HS60010,0,1,6,0,0,0,0,Spring21
ES60004,0,1,0,0,0,0,0,Spring20
ET60006,27,38,9,0,0,0,0,Spring21
MA40002,0,0,1,1,1,1,0,Spring20
CE41627,2,4,3,0,0,0,0,Autumn20
CE41629,0,2,2,2,3,0,0,Autumn20
CE42002,0,2,6,1,0,0,0,Spring21
CE42006,1,1,4,2,1,0,0,Spring21
CE31104,1,3,5,2,0,0,0,Spring20
IM61020,1,4,6,4,6,0,0,Spring20
CE60141,2,3,0,0,0,0,0,Autumn20
HS40083,1,5,7,1,1,0,0,Autumn20
CE47006,3,6,2,0,0,0,0,Spring21
CE60134,1,7,3,2,0,0,0,Spring21
EP60002,12,12,7,1,0,0,0,Spring21
CE31306,0,0,0,1,0,0,0,Autumn19
MA60002,13,27,26,11,4,2,0,Spring20
CE41028,0,0,1,0,0,0,0,Autumn20
CE42006,0,0,0,1,0,0,0,Autumn20
ET60004,0,0,0,0,0,1,0,Autumn20
CE31510,0,0,1,0,0,0,0,Spring21
MA41008,0,2,1,1,1,0,0,Spring20
CE60126,0,3,3,2,1,2,0,Spring20
ES60008,0,1,0,0,0,2,0,Spring20
CE31510,0,0,0,1,0,0,0,Spring20
CE31406,0,1,0,0,2,0,0,Autumn20
CE61003,0,0,0,0,1,0,0,Autumn20
MT21104,15,18,12,3,0,0,0,Spring20
BM63083,1,2,4,1,0,0,0,Autumn20
RD30002,0,2,12,10,1,0,0,Spring20
CE41021,1,1,3,0,0,0,0,Autumn20
CE60061,0,0,5,3,1,1,0,Autumn20
CE31111,22,38,17,4,4,1,0,Spring21
IP60017,0,1,4,1,1,0,0,Spring20
HS30075,0,0,1,0,0,0,0,Spring19
MI60078,0,1,0,0,2,0,0,Spring20
HS30074,10,17,4,1,2,2,0,Autumn20
CE60136,0,0,1,0,0,0,0,Spring21
CE60144,0,0,0,0,1,0,0,Spring21
IM60006,0,0,6,4,1,1,0,Spring20
EP60029,4,10,7,1,0,0,0,Autumn20
CE31104,0,2,0,0,0,0,0,Spring21
